NOME_MUNICIPIO [-],CODIGO [-],GENTILICO [-],PREFEITO [2017],AREA - AREA [2018],POPESTIMADA - POPESTIMADA [2018],DENSIDADE - DENSIDADE [2010],ESCOLARIZACAO - PORCENTO [2010],IDHM [2010],MORTALIDADE - MORTALIDADE [2014],RECEITAS - REAL_MIL [2017],DESPESAS - REAL_MIL [2017],PIB - REAL [2016],
Poço Fundo,3151701,poço-fundense,RENATO FERREIRA DE OLIVEIRA,474.244,16734,33.65,97.2,0.691,-,40854.1736,34110.2158,15585.82,
Poços de Caldas,3151800,poços-caldense,SERGIO ANTONIO CARVALHO DE AZEVEDO,546.958,166111,278.54,97.7,0.779,7.42,638070.057,617687.1923,37094.87,
Pocrane,3151909,pocranense,ERNANE JOSÉ DE MACEDO,691.066,8508,13,97.5,0.626,-,17691.16151,16310.28102,9798.85,
Pompéu,3152006,pompeano,OZEAS DA SILVA CAMPOS,2551.074,31583,11.41,96.3,0.689,6.86,81947.94728,72453.47467,21402.21,
Ponte Nova,3152105,ponte-novense,WAGNER MOL GUIMARÃES,470.643,59605,121.94,97.7,0.717,14.45,183067.7836,159273.0032,24700.71,
Ponto Chique,3152131,ponto chiquense,JOSÉ GERALDO ALVES DE ALMEIDA,602.799,4237,6.58,98.8,0.606,-,14109.63623,13507.55933,9031.14,
Ponto dos Volantes,3152170,ponto volantense,LEANDRO RAMOS SANTANA,1212.413,12061,9.36,96,0.595,21.58,30112.31868,25598.92616,8153.86,
Porteirinha,3152204,porteirinhense,SILVANEI BATISTA SANTOS,1749.683,37950,21.51,98.6,0.651,11.43,66857.731,63704.46892,7980.99,
Porto Firme,3152303,porto-firmense,REGINALDO BARBOSA GONÇALVES,284.777,11208,36.58,98.8,0.634,9.09,19820.93411,18022.64481,7780.19,
Poté,3152402,poteense,GILDESIO SAMPAIO DE OLIVEIRA,625.111,16491,25.06,98.2,0.624,20.62,37458.34068,35480.3777,8212.58,
Pouso Alegre,3152501,pouso-alegrense,RAFAEL TADEU SIMOES,542.797,148862,240.51,98.2,0.774,12.18,581413.7841,428322.7383,46860.13,
Pouso Alto,3152600,pouso-altense,JULIANO CLÁUDIO DA SILVA,263.034,5981,23.62,98.5,0.71,-,20329.87249,17631.98011,24586.97,
Prados,3152709,pradense,LESTER REZENDE DANTAS JUNIOR,264.115,8979,31.77,96.3,0.689,10.75,21808.59001,16884.91546,17753.4,
Prata,3152808,pratense,ANUAR ARANTES AMUI,4847.544,27688,5.32,96.1,0.695,5.97,73563.62065,66800.4123,34244.28,
Pratápolis,3152907,pratapolense,DENISE ALVES DE SOUZA NEVES,215.516,8642,40.86,98.4,0.729,-,23376.23615,20796.92862,16754.93,
Pratinha,3153004,pratinhense,JOHN WERCOLLIS DE MORAIS,622.478,3573,5.25,96,0.721,-,18387.17604,15447.46701,27224.93,
Presidente Bernardes,3153103,bernardense,JAZON HAROLDO SILVA ALMEIDA,236.798,5398,23.38,98.4,0.632,24.39,15099.19638,14449.90138,8454.24,
Presidente Juscelino,3153202,juscelinense,RICARDO DE CASTRO MACHADO,695.882,3676,5.62,96.4,0.614,-,14751.92329,13355.16188,11774.48,
Presidente Kubitschek,3153301,kubitschekano,LAURO DE OLIVEIRA,189.235,3004,15.64,95.3,0.595,18.18,14615.56194,12487.70682,8443.39,
Presidente Olegário,3153400,olegariense,JOAO CARLOS NOGUEIRA DE CASTILHO,3503.742,19377,5.3,98.8,0.701,5.26,57022.21163,51043.22803,23619.61,
Alto Jequitibá,3153509,jequitibaense,MARCO ANTONIO LOPES,152.272,8333,54.63,98,0.66,17.24,17760.36582,15062.83209,12189.26,
Prudente de Morais,3153608,prudentino,JOSÉ ROBERTO FILHO,124.189,10629,77.08,97.7,0.69,6.41,25743.59357,22893.27454,12649.66,
Quartel Geral,3153707,quartelense,JOSÉ LÚCIO CAMPOS,556.436,3542,5.94,96.7,0.683,28.57,17834.15445,19286.72546,13446.86,
Queluzito,3153806,queluzitano,CÉLIO PEREIRA DE SOUZA,153.56,1934,12.12,99.1,0.682,0,12289.08696,11380.68208,14142.05,
Raposos,3153905,raposense,SERGIO SILVEIRA SOARES,72.228,16277,212.88,98.4,0.73,8.81,34236.46161,27563.46488,11129.19,
Raul Soares,3154002,raul-soarense,VICENTE RUFINO OSORIO,763.364,23814,31.2,94.3,0.655,10.91,49814.53193,43357.194,12128.59,
Recreio,3154101,recreiense ou recreense,JOSE MARIA ANDRE DE BARROS,234.296,10514,43.96,97.7,0.692,10.1,23799.69038,22992.09141,8350.64,
Reduto,3154150,redutense,JOSE CARLOS LOPES,151.859,7105,43.26,95.4,0.629,-,17011.9877,16300.25475,12075.59,
Resende Costa,3154200,resende-costense,AURÉLIO SUENES DE RESENDE,618.312,11459,17.65,97.6,0.685,6.8,27672.59209,23875.12887,13562.68,
Resplendor,3154309,resplendorense,DIOGO SCARABELLI JUNIOR,1081.796,17398,15.8,97.1,0.67,18.1,42626.16044,41777.82668,13185.65,
Ressaquinha,3154408,ressaquinhense,MANOEL DA SILVA RIBEIRO,183.062,4798,25.52,98.5,0.683,18.87,18463.37282,16257.51016,37445.23,
Riachinho,3154457,riachiense,LIEDSON SILVA MARTINS,1719.266,8138,4.66,97.4,0.632,-,21366.28615,18810.73876,12080.44,
Riacho dos Machados,3154507,riachense,ELTON MARQUES DE ALMEIDA,1315.54,9487,7.11,95.3,0.627,-,25904.09946,24860.13629,16172.5,
Ribeirão das Neves,3154606,nevense,MOACIR MARTINS DA COSTA JUNIOR,155.454,331045,1905.07,96.5,0.684,10.31,442513.5013,379009.8872,11110.22,
Ribeirão Vermelho,3154705,ribeirense,ANA ROSA MENDONÇA LASMAR,49.251,4019,77.68,99.4,0.737,-,14073.91936,12049.51288,24768.93,
Rio Acima,3154804,rio-acimense,MARIA AUXILIADORA RIBEIRO,229.812,10203,39.55,96.7,0.673,15.5,51088.05003,36990.49106,13571.47,
Rio Casca,3154903,rio-casquense,ADRIANO DE ALMEIDA ALVARENGA,384.381,13659,36.95,98.2,0.65,5.75,34600.52575,30442.39664,12602.46,
Rio Doce,3155009,rio-docense,SILVÉRIO JOAQUIM APARECIDO DA LUZ,112.094,2599,21.99,98.9,0.664,0,21192.91089,18760.07143,11432.05,
Rio do Prado,3155108,rio-pradense,GILBERTO GONÇALVES DE AGUILAR,479.815,5167,10.87,98.9,0.605,-,14892.87537,14121.78933,7413.71,
Rio Espera,3155207,rio-esperense,LUCIO MARCOS DA SILVEIRA,238.602,5549,25.44,98.1,0.602,25,14916.45857,13520.11577,6672.13,
Rio Manso,3155306,rio-mansense,ADAIR DORNAS DOS SANTOS,231.54,5783,22.79,98.5,0.648,23.26,15904.87914,13305.3725,14230.24,
Rio Novo,3155405,rio-novense,ORMEU RABELLO FILHO,209.31,8941,41.62,95,0.707,-,19405.33264,18970.06949,11783.72,
Rio Paranaíba,3155504,rio-paraibano,VALDEMIR DIOGENES DA SILVA,1352.353,12291,8.79,98.7,0.709,25.42,56429.89555,40397.71063,48113.61,
Rio Pardo de Minas,3155603,rio-pardense,MARCUS VINICIUS DE ALMEIDA RAMOS,3117.675,30779,9.33,98.9,0.624,9.35,55111.40347,51187.68572,8178.13,
Rio Piracicaba,3155702,piracicabense,ANTÔNIO JOSÉ COTA,373.037,14346,37.93,98.9,0.685,-,43375.99571,36371.05675,24813.15,
Rio Pomba,3155801,rio-pombense,MARCOS PASCOALINO,252.418,17858,67.78,97.7,0.714,15.71,38458.87645,32635.98073,16137.43,
Rio Preto,3155900,rio-pretense,INÁCIO DE LOYOLA MACHADO FERREIRA,348.046,5467,15.2,98.8,0.679,27.78,16745.71432,14454.13548,10225.74,
Rio Vermelho,3156007,rio-vermelhense,ILDEMAR VICENTE DE FARIA,986.561,12957,13.83,93,0.558,7.52,26472.47448,25032.03595,8255.52,
Ritápolis,3156106,ritapolitano,HIGINO ZACARIAS DE SOUSA,404.805,4648,12.17,98.6,0.653,-,9919.85436,10078.53174,12633.82,
Rochedo de Minas,3156205,rochedense,RICARDO CEZAR CANDIDO DA SILVA,79.402,2289,26.65,96,0.684,-,14936.82418,12151.14605,11120.98,
Rodeiro,3156304,rodeirense,LUIZ ANTONIO MEDEIROS,72.673,7991,94.49,95.2,0.668,9.01,21275.54447,18780.46136,47670.71,
Romaria,3156403,romariense,JOAO RODRIGUES DOS REIS,407.557,3547,8.82,100,0.708,-,18459.11585,13914.94052,45797.13,
Rosário da Limeira,3156452,limeirense,JOSE MARIA PINTO DA SILVA,111.156,4566,38.21,99.5,0.662,-,19610.96456,15667.0835,11168.04,
Rubelita,3156502,rubelitense,OSVAN OTAVIO DAVID MIRANDA,1110.295,6198,7,96.7,0.582,13.89,17788.18801,16878.47195,7627.05,
Rubim,3156601,rubinense,ALENCAR SOUTO DE OLIVEIRA,965.174,10226,10.28,98.3,0.609,43.48,25197.26622,21276.55217,7885.98,
Sabará,3156700,sabaraense,WANDER JOSÉ GODDARD BORGES,302.419,135421,417.87,97.3,0.731,10.25,282359.1289,238256.2737,16870.16,
Sabinópolis,3156809,sabinopolense,ELZIO MARIA DE PINHO,919.811,15525,17.07,96.8,0.638,27.32,37752.86622,31752.9515,11258.32,
Sacramento,3156908,sacramentano,WESLEY DE SANTI DE MELO,3073.268,25989,7.78,97.3,0.732,12.05,116576.4305,90724.37301,52118.86,
Salinas,3157005,salinense,JOSE ANTONIO PRATES,1862.117,41349,20.75,97.2,0.679,12.54,78169.89146,69493.41978,13147.34,
Salto da Divisa,3157104,saltense,OXIMANE PEIXOTO BOMFIM,938.008,7007,7.31,97.4,0.608,21.74,24675.24486,23184.70349,12835.35,
