NOME_MUNICIPIO [-],CODIGO [-],GENTILICO [-],PREFEITO [2017],AREA - AREA [2018],POPESTIMADA - POPESTIMADA [2018],DENSIDADE - DENSIDADE [2010],ESCOLARIZACAO - PORCENTO [2010],IDHM [2010],MORTALIDADE - MORTALIDADE [2014],RECEITAS - REAL_MIL [2017],DESPESAS - REAL_MIL [2017],PIB - REAL [2016],
Aiuaba,2300408,aiuabense,RAMILSON ARAUJO MORAES,2434.423,17303,6.66,97.5,0.569,12.82,37794.63071,33776.93227,5946.54,
Alcântaras,2300507,alcantarense,JOAQUIM FREIRE CARVALHO,138.605,11529,77.71,97.7,0.6,13.79,24.16583,28990.81921,5230.63,
Altaneira,2300606,altaneirense,FRANCISCO DARIOMAR RODRIGUES SOARES,73.295,7521,93.54,95.7,0.602,21.51,31688.0261,24034.7098,6099.04,
Alto Santo,2300705,alto-santense,MARIA IRISNEILE GADELHA SOUSA COSTA,1338.205,17096,12.22,96.5,0.601,10.58,40704.75209,35934.2694,7889.81,
Amontada,2300754,amontadense,VALDIR HERBSTER FILHO,1178.162,43131,33.27,97,0.606,22.36,104596.0233,100940.296,9917.57,
Antonina do Norte,2300804,antonino,FRANCISCO EVANDRO ARRAIS DE ALMEIDA,260.104,7328,26.85,95.7,0.599,20.2,21091.60042,19508.59033,7095.89,
Apuiarés,2300903,apuiareense,ROBERTO SAVIO GOMES DA SILVA,545.158,14814,25.54,98.6,0.618,20.27,43151.1677,36822.04468,6345.27,
Aquiraz,2301000,aquirazense,EDSON SÁ,480.997,79563,150.5,96.5,0.641,11.13,244006.6155,197501.396,27336.65,
Aracati,2301109,aracatiense,BISMARCK COSTA LIMA PINHEIRO MAIA,1230.507,74084,56.32,98.5,0.655,11.01,227561.3401,185621.2622,16595.3,
Aracoiaba,2301208,aracoiabense,ANTONIO CLAUDIO PINHEIRO,656.597,26437,38.67,96.5,0.615,10.47,66969.90402,70353.85927,7289.25,
Ararendá,2301257,ararendaense,ARISTEU ALVES EDUARDO,344.131,10901,30.49,98.9,0.59,15.87,30233.21546,28244.06253,6036.05,
Araripe,2301307,araripense,GIOVANE GUEDES SILVESTRE,1099.933,21550,18.81,96.3,0.564,17.39,69217.32083,59671.85451,6959.46,
Aratuba,2301406,aratubano,MARIA AUXILIADORA LIMA BATISTA,114.785,11346,100.44,97,0.622,11.11,49123.73328,31633.95958,8284.1,
Arneiroz,2301505,arneirozense,EDGAR DE CASTRO MONTEIRO,1066.362,7836,7.17,97.6,0.618,20.41,11.50649,20466.42208,6495.42,
Assaré,2301604,assareense,FRANCISCO EVANDERTO ALMEIDA,1116.331,23417,20.11,96.6,0.6,7.91,52234.57079,42903.24791,6510.21,
Aurora,2301703,aurorense,JOAO ANTONIO DE MACEDO JUNIOR,885.836,24699,27.73,97.9,0.605,8.38,52517.28398,46765.06558,7164.34,
Baixio,2301802,baixiense,JOSÉ HUMBERTO MOURA RAMALHO,146.433,6272,41.15,97.9,0.627,16.67,23630.68618,21367.08949,6758.78,
Banabuiú,2301851,banabuiense,FRANCISCO HERMES NOBRE,1080.329,18151,16.03,98,0.606,19.46,46068.89785,42192.55666,7889.12,
Barbalha,2301901,barbalhense,ARGEMIRO SAMPAIO NETO,569.508,60155,97.14,98.3,0.683,19.68,243774.859,227251.7216,14406.42,
Barreira,2301950,barreirense,ANTONIO ALAILSON OLIVEIRA SALDANHA,245.805,22362,79.63,97.8,0.616,3.38,49562.61395,44585.4676,6965.5,
Barro,2302008,barrense,JOSÉ MARQUINÉLIO TAVARES,711.887,22593,30.22,97.1,0.599,18.94,41340.96125,39319.66277,6971.19,
Barroquinha,2302057,barroquinhense,ADEMAR PINTO VERAS,384.9,14989,37.76,97.9,0.571,19.32,39700.27383,35936.40334,6512.27,
Baturité,2302107,baturiteense,FRANCISCO DE ASSIS GERMANO ARRUDA,308.581,35575,107.98,95.9,0.619,6.92,74220.66741,67628.88549,8541.11,
Beberibe,2302206,beberibense,PEDRO DA CUNHA,1620.344,53421,30.37,98.2,0.638,15.54,119759.0035,114373.5826,12047.14,
Bela Cruz,2302305,bela-cruzense,ELIESIO ROCHA ADRIANO,843.021,32593,36.63,98.9,0.623,21.45,54874.52308,54813.93035,6351.38,
Boa Viagem,2302404,boa-viagense,ALINE CAVALCANTE VIEIRA,2836.783,54440,18.51,97.6,0.598,14.64,103721.3768,98299.87318,6834.78,
Brejo Santo,2302503,brejo-santense,TERESA MARIA LANDIM TAVARES,663.429,49109,68.12,92.5,0.647,8.58,170601.2427,147722.7687,14142.89,
Camocim,2302602,camocimense,MONICA GOMES AGUIAR,1128.894,63408,53.48,97.8,0.62,11.86,184054.1167,163720.7821,9763.29,
Campos Sales,2302701,campos-salense,MOÉSIO LOIOLA DE MELO,1082.769,27409,24.48,98.3,0.63,19.39,72422.3074,64018.70805,7424.99,
Canindé,2302800,canindeense,MARIA DO ROZARIO ARAUJO PEDROSA XIMENES,3218.481,78049,23.14,97.5,0.612,7.13,208998.6871,198932.3675,8309.69,
Capistrano,2302909,capistranense,INES NASCIMENTO DE OLIVEIRA,222.549,17793,76.67,96.3,0.611,12.24,44410.43366,47389.11605,6449.02,
Caridade,2303006,caridadense,MARIA AMANDA LOPES COSTA,846.505,22427,23.65,97.3,0.592,7.66,46274.55056,44993.10307,5264.33,
Cariré,2303105,carireense,ELMO ROBERTO BELCHIOR AGUIAR,756.875,18802,24.24,97.9,0.596,13.22,51159.84298,45628.31527,6400.96,
Caririaçu,2303204,caririaçuense,JOSÉ EDMILSON LEITE BARBOSA,623.564,27095,42.33,96.1,0.578,16.9,59523.756,55442.10147,6587.35,
Cariús,2303303,cariuense,JOSE FERNANDES FERREIRA,1061.803,18950,17.49,97.1,0.597,10.36,43117.00843,38533.8984,6896,
Carnaubal,2303402,carnaubalense,ANTONIO ADEMIR BARROSO MARTINS,364.839,17747,45.9,97.1,0.593,17.7,44400.99881,39292.32944,6158.7,
Cascavel,2303501,cascavelense,FRANCISCA IVONETE MATEUS PEREIRA,834.963,71499,78.99,96.7,0.646,7.09,157576.1384,146954.712,12352.04,
Catarina,2303600,catarinense,THIAGO PAES DE ANDRADE RODRIGUES,486.864,20562,38.5,94.3,0.618,13.89,48412.85619,40082.53852,5139.89,
Catunda,2303659,catundense,RAVENNA FERNANDES GOMES MESQUITA LIMA,790.705,10437,12.59,98.7,0.609,9.17,30300.18724,29143.06431,7994.37,
Caucaia,2303709,caucaiense,NAUMI GOMES DE AMORIM,1227.931,363982,264.91,96.3,0.682,10.25,629854.1724,553796.3332,15177.12,
Cedro,2303808,cedrense,FRANCISCO NILSON ALVES DINIZ,725.798,25249,33.79,97.5,0.627,6.12,73911.85398,51532.51825,7345.96,
Chaval,2303907,chavalense,SEBASTIÃO SOTERO VERAS,237.418,13047,52.95,97.4,0.586,11.49,28808.14599,30309.62554,6305.65,
Choró,2303931,choroense,MARCONDES DE HOLANDA JUCÁ,815.77,13476,15.76,97.2,0.585,15.15,39483.61716,32665.65548,5496.96,
Chorozinho,2303956,chorozinhense,FRANCISCO DE CASTRO MENEZES JUNIOR,278.413,19345,67.94,97.4,0.604,-,53830.39622,47230.75267,7250.53,
Coreaú,2304004,coreauense,CARLOS RONER FELIX ALBUQUERQUE,775.796,23258,28.3,97.5,0.61,9.87,51937.11674,47475.59126,5863.9,
Crateús,2304103,crateuense,MARCELO FERREIRA MACHADO,2985.152,74982,24.39,97.5,0.644,12.71,140243.4949,139963.5238,8967.13,
Crato,2304202,cratense,JOSE AILTON DE SOUSA BRASIL,1176.467,131372,103.21,97.8,0.713,16.59,263007.6556,226354.5936,11642.3,
Croatá,2304236,croataense,ANTONIO RIBEIRO DE SOUSA,696.984,17994,24.49,97.4,0.59,12.88,44431.21556,43136.46883,6546.97,
Cruz,2304251,cruzense,JOÃO MUNIZ SOBRINHO,330.201,24131,68.13,98.5,0.632,11.8,66832.45706,53862.87242,7947.85,
Deputado Irapuan Pinheiro,2304269,irapuense,LUIZ CLAUDENILTON PINHEIRO,470.425,9585,19.33,99.3,0.609,-,28587.71263,24445.95004,6908.19,
Ererê,2304277,erereense,ANTONIO NIVALDO MUNIZ DA SILVA,382.707,7211,17.87,98,0.61,-,20139.95203,19068.06015,7192.11,
Eusébio,2304285,eusebiano,ACILON GONÇALVES PINTO JUNIOR,79.005,52880,582.66,98.3,0.701,3.69,281098.3155,251597.0948,59097.86,
Farias Brito,2304301,farias-britense,JOSE MARIA GOMES PEREIRA,503.622,18882,37.74,99.3,0.633,7.97,51471.39926,44726.55491,6929.95,
Forquilha,2304350,forquilhense,GERLASIO MARTINS DE LOIOLA,516.993,24169,42.14,96.4,0.644,15.77,59852.25615,55357.41569,7526.82,
Fortaleza,2304400,fortalezense,ROBERTO CLAUDIO RODRIGUES BEZERRA,312.407,2643247,7786.44,96.1,0.754,11.5,6810527.069,6525657.824,23045.09,
Fortim,2304459,fortinense,NASELMO DE SOUSA FERREIRA,277.973,16357,53.15,97.5,0.624,11.3,46215.46717,41449.76087,8747.31,
Frecheirinha,2304509,frecheirinhense,HELTON LUIS AGUIAR JUNIOR,181.24,13758,71.68,97.8,0.604,11.58,44426.33149,38675.59321,16122.52,
General Sampaio,2304608,sampaiense,FRANCISCO CORDEIRO MOREIRA,205.81,6956,30.21,96.2,0.568,22.99,24583.97795,25385.03992,6471.01,
Graça,2304657,gracense,AUGUSTO BRITO,281.872,15423,53.39,99.1,0.57,6.76,50466.39062,45677.84743,5670.1,
Granja,2304707,granjense,AMANDA ARRUDA MENEZES,2663.032,54729,19.52,94.7,0.559,23.1,107204.8,106091.7874,6919.34,
Granjeiro,2304806,granjeirense,JOAO GREGORIO NETO,100.127,4469,46.23,98.8,0.585,-,16.63519,16804.48543,7134.7,
Groaíras,2304905,groairense,FRANCISCO UELITON MARTINS VASCONCELOS,155.947,11076,65.59,97.9,0.633,13.89,30387.53255,28903.84396,6386.3,
Guaiúba,2304954,guaiubano,MARCELO DE CASTRO FRADIQUE ACCIOLY,267.128,26472,90.19,94.2,0.617,8.11,55147.27488,51598.99584,6449.79,
Guaraciaba do Norte,2305001,guaraciabense,ANTONIO ADAIL MACHADO CASTRO,611.464,39713,61.78,97.7,0.609,13.49,105405.8841,90370.30516,9146.97,
Guaramiranga,2305100,guaramiranguense,ROBERLANDIA FERREIRA CASTELO BRANCO,59.436,3595,70.06,97.6,0.637,-,32183.19369,20840.76729,15177.69,
Hidrolândia,2305209,hidrolandiense,IRES MOURA OLIVEIRA,966.853,20352,19.99,98,0.597,9.9,40945.08241,37985.57052,6756.65,
Horizonte,2305233,horizontino,FRANCISCO CESAR DE SOUSA,160.764,66114,344.96,97.1,0.658,13.28,193783.1808,175778.4819,22426.48,
Ibaretama,2305266,ibaretamense,FRANCISCO EDSON DE MORAES,877.256,13317,14.73,95.4,0.577,9.62,28682.80626,28828.38628,6231.96,
Ibiapina,2305308,ibiapinense,ANTONIO LEANDRO GOMES LINHARES,414.938,24995,57.38,98.5,0.608,24.17,51973.94305,46606.54475,7745.8,
Ibicuitinga,2305332,ibicuitinguense,FRANCISCO JOSE MAGALHAES CARNEIRO,424.915,12419,26.72,97.9,0.606,25.64,32884.86905,28419.81875,6645.22,
Icapuí,2305357,icapuiense,RAIMUNDO LACERDA FILHO,423.539,19804,43.43,96.8,0.616,7.69,93890.53522,82328.16553,12555.22,
Icó,2305407,icoense,ANA LAIS PEIXOTO CORREIA NUNES,1871.995,67972,34.97,96.7,0.606,15.76,121888.3251,120450.0418,8004.06,
Iguatu,2305506,iguatuense,EDNALDO DE LAVOR COURAS,1029.214,103255,93.76,96.8,0.677,11.49,207787.909,210946.2663,13940.47,
Independência,2305605,independenciense,JOSE VALDI COUTINHO,3218.678,26168,7.95,97.6,0.632,16.29,50895.19251,47668.2617,8098.53,
Ipaporanga,2305654,ipaporanguense,ANTONIO ALVES MELO,702.126,11587,16.16,97.2,0.579,14.49,31035.32593,31543.55553,6413.7,
Ipaumirim,2305704,ipaumirinense,JOSÉ GERALDO DOS SANTOS,275.159,12439,43.86,96.7,0.606,6.41,26749.06499,26533.50603,7559.62,
Ipu,2305803,ipuense,CARLOS SERGIO RUFINO MOREIRA,629.315,41873,64.03,97.3,0.618,7.19,95058.00809,85477.94975,8052.99,
Ipueiras,2305902,ipueirense,RAIMUNDO MELO SAMPAIO,1477.407,38205,25.63,98.1,0.573,19.27,85184.00785,78943.66079,5794.4,
Iracema,2306009,iracemense,JOSE JUAREZ DIOGENES TAVARES,821.247,14227,16.71,98,0.652,5.41,43144.92393,43284.80094,8836.54,
Irauçuba,2306108,irauçubense,RAIMUNDO NONATO SOUZA SILVA,1461.253,24003,15.28,95.2,0.605,11.27,57618.57886,51199.17333,6772.2,
Itaiçaba,2306207,itaiçabense,JOSÉ ERENARCO DA SILVA,212.109,7787,34.49,99.5,0.656,-,24405.74731,21829.31688,7946.66,
Itaitinga,2306256,itaitiguense,ABEL CERCELINO RANGEL JUNIOR,151.633,39518,236.51,91.4,0.626,10.99,100395.8056,91053.8776,14527.61,
Itapajé,2306306,itapajeense,RAIMUNDO DIMAS ARAÚJO CRUZ,430.565,52240,110.01,97.1,0.623,6.45,113391.4921,101400.1818,10224.78,
Itapipoca,2306405,itapipoquense,JOÃO RIBEIRO BARROSO,1613.913,128135,71.9,97.9,0.64,10.58,268626.6647,239926.5493,10511.93,
Itapiúna,2306504,itapiunense,FRANCISCO DÁRIO DE OLIVEIRA COELHO,588.699,20133,31.64,95.3,0.604,30.3,65456.73673,45448.28476,6187.36,
Itarema,2306553,itaremense,ELIZEU CHARLES MONTEIRO,718.016,41445,52,96.6,0.606,11.29,100102.2416,93239.96143,10599.14,
Itatira,2306603,itatirense,ANTONIO ALMIR BIE DA SILVA,783.436,20786,24.12,97.6,0.562,23.03,76025.83975,60600.42204,5497.11,
Jaguaretama,2306702,jaguaretamense,FRANCISCO GLAIRTON RABELO CUNHA,1759.401,18102,10.15,96.7,0.612,11.49,49201.83037,35976.64248,7896.49,
Jaguaribara,2306801,jaguaribarense,JOACY ALVES DOS SANTOS JUNIOR,668.738,11359,15.55,97.4,0.618,-,28167.84306,26656.01281,10773.36,
Jaguaribe,2306900,jaguaribano,JOSÉ ABNER NOGUEIRA DIÓGENES PINHEIRO,1876.806,34729,18.33,96.4,0.621,7.78,85507.21442,82644.15907,13091.49,
Jaguaruana,2307007,jaguaruanense,ROBERTO BARBOSA MOREIRA,867.563,33967,37.16,98.4,0.624,5.14,69049.41624,69046.51936,11031.7,
Jardim,2307106,jardinense,ANIZIARIO JORGE COSTA,552.424,27284,48.31,98.4,0.614,25.11,58468.86665,52203.50615,6578.22,
Jati,2307205,jatiense,MARIA DE JESUS DINIZ NOGUEIRA,353.298,7902,21.21,98.1,0.651,25.42,32089.96358,28222.35564,10127.75,
Jijoca de Jericoacoara,2307254,jijoquense,LINDBERGH MARTINS,208.099,19587,83.02,98.8,0.652,6.92,62313.16657,60923.78966,13573.99,
Juazeiro do Norte,2307304,juazeirense,JOSE ARNON CRUZ BEZERRA DE MENEZES,248.832,271926,1004.45,97.3,0.694,12.02,672950.2882,522709.2441,15604.19,
Jucás,2307403,jucaense,RAIMUNDO LUNA NETO,937.189,24773,25.4,97.5,0.598,2.75,55718.34201,53527.80103,7205.26,
Lavras da Mangabeira,2307502,lavrense ou lavraense,ILDSSER ALENCAR LOPES,947.968,31584,32.8,97.2,0.613,17.7,67220.81129,56816.99038,7030.18,
Limoeiro do Norte,2307601,limoeirense,JOSÉ MARIA DE OLIVEIRA LUCENA,750.068,59278,74.91,98,0.682,14.55,115645.2464,106746.3527,15842.69,
Madalena,2307635,madalenense,MARIA SONIA DE OLIVEIRA COSTA,1034.722,19906,17.48,98.3,0.61,20.51,41301.98044,39124.62753,6502.59,
Maracanaú,2307650,maracanauense,JOSE FIRMO CAMURÇA NETO,106.648,226128,1960.25,97.4,0.686,9.39,724429.9827,657108.095,36223.88,
Maranguape,2307700,maranguapense,JOÃO PAULO DE CASTRO CARNEIRO XEREZ SILV,590.873,127098,192.19,94.9,0.659,14.07,197385.5778,193904.0685,10027.06,
Marco,2307809,marquense,ROGER NEVES AGUIAR,574.138,27127,43.03,97.4,0.612,22.27,64664.2363,57587.68763,10203.88,
Martinópole,2307908,martinolopolitano,FRANCISCO FONTENELE JUNIOR,298.962,11143,34.16,97.8,0.599,17.86,30155.02181,29615.54391,6385.95,
Massapê,2308005,massapeense,JOAO JACQUES CARNEIRO ALBUQUERQUE,566.581,38424,62.11,98.3,0.616,5.78,101272.1581,81630.43037,6015.2,
Mauriti,2308104,mauritiense,JOSEVAN LEITE DE OLIVEIRA,1049.488,46854,42.15,98.1,0.605,18.21,88623.54391,87085.54274,7289.23,
Meruoca,2308203,meruoquense,FRANCISCO ANTONIO FONTELES,149.845,15030,91.38,97.8,0.618,5.29,40227.84038,35949.35702,5949.44,
Milagres,2308302,milagrense,LIELSON MACEDO LANDIM,605.193,28466,46.69,96.2,0.628,12.56,62154.81674,53491.71754,7040.09,
Milhã,2308351,milharense,JOSE DARLAN DANTAS PINHEIRO,502.344,13241,26.05,97.5,0.626,8.26,35731.74713,31509.00394,8484.4,
Miraíma,2308377,miraimense,ANTÔNIO EDNARDO BRAGA LIMA FILHO,699.964,13669,18.29,98.6,0.592,15.15,31540.70901,31469.47985,5768.28,
Missão Velha,2308401,missanvelhense,DIEGO GONDIM FEITOSA,645.704,35662,53.08,96.8,0.622,10.58,75644.0299,68822.84345,9351.99,
Mombaça,2308500,mombaçano,ECILDO EVANGELISTA FILHO,2119.48,44060,20.14,96.4,0.582,8.26,82316.49363,75706.9863,7023.81,
Monsenhor Tabosa,2308609,tabosense,FRANCISCO JEOVÁ SOUSA CAVALCANTE,886.137,17167,18.85,99.2,0.61,-,44058.07424,43438.91752,7133.44,
Morada Nova,2308708,morada-novense,JOSE VANDERLEY NOGUEIRA,2778.578,62069,22.33,97.6,0.61,8.39,138124.4782,127183.7477,12217.14,
Moraújo,2308807,moraujense,CARLOS ÁQUILA CUNHA DE QUEIROZ,415.633,8689,19.42,97.4,0.581,15.75,22274.27278,21764.31104,8468.58,
Morrinhos,2308906,morrinhense,CARLOS ALBERTO ROCHA BRUNO,415.556,22354,49.81,95.1,0.588,10.56,50690.40271,46041.05998,6113.39,
Mucambo,2309003,mucambense,FRANCISCO DAS CHAGAS PARENTE AGUIAR,190.602,14485,73.99,98.6,0.607,18.07,38188.35135,34550.89887,6556.82,
Mulungu,2309102,mulunguense,ROBERT VIANA LEITAO,134.568,12892,85.35,96.9,0.607,20.27,34670.52113,26115.92919,6711.93,
Nova Olinda,2309201,novo-olindense,AFONSO DOMINGOS SAMPAIO,284.401,15520,50.13,97.3,0.625,20.49,46687.0978,38351.07058,7700.17,
Nova Russas,2309300,nova-russano,RAFAEL HOLANDA PEDROSA,742.765,32262,41.69,98,0.614,20.9,61813.47715,57297.44701,8218.75,
Novo Oriente,2309409,novo-oriental,VANALDO CARLOS MOURA,949.393,28557,28.92,97.9,0.605,21.39,59518.6181,54123.86991,6288.36,
Ocara,2309458,ocarense,AMALIA LOPES DE SOUSA,765.412,25557,31.36,98.2,0.594,13.47,60494.65773,53834.80254,5934.6,
Orós,2309508,oroense,SIMAO PEDRO ALVES PEQUENO,576.27,21471,37.12,97.4,0.636,7.63,49148.46668,46212.7834,8921.97,
Pacajus,2309607,pacajuense,FLANKY JOSÉ AMARAL CHAVES,254.636,71193,243,98.2,0.659,20.62,130640.4739,115063.0522,14375.34,
Pacatuba,2309706,pacatubano,CARLOMANO GOMES MARQUES,131.994,83157,547.74,94.6,0.675,7.45,152346.7809,145989.954,11514.38,
Pacoti,2309805,pacotiense,FRANCISCO JOSE SAMPAIO LEITE,112.021,12046,103.61,96.5,0.635,-,33058.44979,30571.83887,10481.85,
Pacujá,2309904,pacujaense,ALEX HENRIQUE ALVES DE MELO,76.128,6246,78.63,98.5,0.621,-,25845.9189,19807.39588,7019.45,
Palhano,2310001,palhanense,IVANILDO NUNES DA SILVA,440.381,9348,20.13,98.1,0.638,27.03,23889.59752,21230.16995,6910.12,
Palmácia,2310100,palmaciano,DAVID CAMPOS MARTINS,117.813,13214,101.9,91.7,0.622,9.26,22.15967,23779.59408,6417.65,
Paracuru,2310209,paracuruense,JOSÉ RIBAMAR BARROSO BAPTISTA,302.468,34097,105.35,97.2,0.637,11.99,117339.2987,98096.46918,12320.61,
Paraipaba,2310258,paraipabense,DIMITRI RABELO BATISTA CASTRO,301.148,32700,99.83,97.8,0.634,9.43,8947.8277,65060.16841,12745.27,
Parambu,2310308,parambuense,RAIMUNDO NORONHA FILHO,2303.54,31398,13.59,96.6,0.57,5.01,68411.84104,65099.22984,6624.33,
Paramoti,2310407,paramotiense,EDUARDO FEIJÓ SANTOS,482.592,11664,23.43,98.7,0.583,34.48,46031.13183,38441.85235,6809.89,
Pedra Branca,2310506,pedra-branquense,ANTONIO GOIS MONTEIRO MENDES,1303.287,43160,32.14,98.1,0.603,18.35,82925.93161,81111.07524,6232.7,
Penaforte,2310605,penafortense,FRANCISCO AGABIO SAMPAIO GONDIM,149.715,9010,57.96,96.7,0.646,11.83,31652.88666,27208.08937,9967.16,
Pentecoste,2310704,pentecostense,JOAO BOSCO PESSOA TABOSA,1378.258,37326,25.68,97.3,0.629,13.51,82670.47311,77568.30441,9940.75,
Pereiro,2310803,pereirense,RAIMUNDO ESTEVAM NETO,433.514,16281,36.35,97.9,0.601,4.37,39968.77252,33925.60465,13216.04,
Pindoretama,2310852,pindoretamense,VALDEMAR ARAÚJO DA SILVA FILHO,75.14,20748,256.06,97.6,0.636,3.18,54134.13734,50810.22872,10150.57,
Piquet Carneiro,2310902,piquet-carneirense,BISMARCK BARROS BEZERRA,587.877,16827,26.31,96,0.6,6.45,40085.45432,37094.36253,6925.59,
Pires Ferreira,2310951,pires-ferreirense,MARIA MARFISA MARQUES AGUIAR,243.099,10853,42.02,96.8,0.591,9.62,31064.19943,27798.29652,4585.72,
Poranga,2311009,poranguense,CARLISSON EMERSON ARAUJO DA ASSUNÇÃO,1309.259,12334,9.17,98.8,0.581,25.64,32651.06826,32252.54594,5882.43,
Porteiras,2311108,porteirense,FÁBIO PINHEIRO CARDOSO,217.58,15047,69.22,97.6,0.622,11.28,42013.5771,37198.78845,8309.58,
Potengi,2311207,potengiense,ANTONIA ALIZANDRA GOMES DOS SANTOS,338.727,10986,30.34,92.7,0.562,29.41,31761.26025,28826.42168,6998.96,
Potiretama,2311231,potiretamense,JOSE EUDES DA SILVA,410.338,6400,14.93,98,0.604,-,23759.34692,23358.35107,7864.06,
Quiterianópolis,2311264,quiterianopolense,JOSÉ BARRETO COUTO NETO,1040.989,21000,19.14,98.5,0.594,24.19,50000.3633,47607.42957,6809.05,
Quixadá,2311306,quixadaense,JOSÉ ILÁRIO GONÇALVES MARQUES,2019.834,87116,39.91,95.8,0.659,18.67,176579.4954,166205.0814,11316.65,
Quixelô,2311355,quixeloense,MARIA DE FATIMA ARAUJO,559.561,14986,26.81,97.8,0.591,11.76,1022.69811,37344.88892,8102.74,
Quixeramobim,2311405,quixeramobinense,CLÉBIO PAVONE FERREIRA DA SILVA,3275.625,79081,21.95,96.7,0.642,13.59,177264.1207,180081.1022,11193.37,
Quixeré,2311504,quixereense,FRANCISCO RAIMUNDO SANTIAGO BESSA,613.576,22008,31.69,97.5,0.622,23.81,54896.30529,51231.49738,14899.86,
Redenção,2311603,redencionista,DAVID SANTA CRUZ BENEVIDES,225.821,27633,117.24,98.1,0.626,15.98,71514.3984,60338.75437,8891.27,
Reriutaba,2311702,reriutabense,OSVALDO HONORIO LEMOS NETO,383.319,18945,50.75,96.7,0.601,28.69,45570.45518,45448.70518,7764.55,
Russas,2311801,russano,RAIMUNDO WEBER DE ARAÚJO,1590.257,76884,43.91,97.2,0.674,7.11,163456.788,151799.9967,12125.65,
Saboeiro,2311900,saboeirense,JOSE GOTARDO DOS SANTOS MARTINS,1383.484,15808,11.39,97.1,0.575,15.87,38364.08232,33403.24731,6025.99,
Salitre,2311959,salitrense,RONDILSON DE ALENCAR RIBEIRO,804.356,16435,19.21,97.3,0.54,20.75,42585.35118,41896.6991,6538.95,
Santana do Acaraú,2312007,santanense-do-acaraú,RAIMUNDO MARCELO ARCANJO,969.326,32216,30.89,95.4,0.587,33.33,60165.60352,59824.66124,6118.06,
Santana do Cariri,2312106,santanense-do-cariri,PEDRO HENRIQUE CORREIA LOPES,855.563,17622,20.07,97.9,0.612,10.47,57498.64883,50533.47256,6116.46,
Santa Quitéria,2312205,quiteriense,TOMAS ANTONIO ALBUQUERQUE DE PAULA PESSO,4260.479,43695,10.04,97.6,0.616,16.72,87598.63375,80916.4089,9174.97,
São Benedito,2312304,beneditense,GADYEL GONCALVES DE AGUIAR PAULA,338.21,46949,130.61,98.1,0.611,10.65,107397.286,92516.11779,9241.16,
São Gonçalo do Amarante,2312403,gonçalense,FRANCISCO CLÁUDIO PINTO PINHO,833.894,48516,52.6,98.1,0.665,5.82,252306.8336,219614.3344,49259.77,
São João do Jaguaribe,2312502,jaguaribense,FRANCISCO ACÁCIO CHAVES,280.456,7691,28.17,99.2,0.654,13.89,21311.30681,18661.53561,12618.89,
São Luís do Curu,2312601,curuense,CAROLINA DE ARAUJO RAMALHO PEQUENO,122.42,12938,100.74,95.4,0.62,-,29335.08881,24687.03039,7456.89,
Senador Pompeu,2312700,pompeuense,ANTONIO MAURÍCIO PINHEIRO JUCÁ,1002.131,26664,26.41,96.4,0.619,22.51,58035.9837,52551.18314,10991.65,
Senador Sá,2312809,saense,REGINA LUCIA VASCONCELOS CORDEIRO,423.919,7553,16.16,98.2,0.603,-,16444.7424,21791.74248,5729.3,
Sobral,2312908,sobralense,IVO FERREIRA GOMES,2122.898,206644,88.67,97.9,0.714,13.25,620503.2648,574656.937,20258.09,
Solonópole,2313005,solonopolitano,JOSÉ WEBSTON NOGUEIRA PINHEIRO,1536.165,18291,11.5,98.6,0.625,17.44,1678.55317,49746.31073,9013.78,
Tabuleiro do Norte,2313104,tabuleirense,RILDSON RABELO VASCONCELOS,861.828,30695,33.89,97.4,0.645,19.8,60758.96795,53068.85358,9294.1,
Tamboril,2313203,tamborilense,PEDRO CALISTO DA SILVA,1961.31,25731,12.98,97.1,0.58,23.73,73205.88552,68105.22591,7577.29,
Tarrafas,2313252,tarrafense,TERTULIANO CANDIDO MARTINS DE ARAÚJO,454.391,8926,19.61,96.8,0.576,33.71,22118.1679,22655.93516,5996.43,
Tauá,2313302,tauaense,CARLOS WINDSON CAVALCANTE MOTA,4018.162,58517,13.87,97.7,0.633,12.15,136028.1365,135713.2955,8879.83,
Tejuçuoca,2313351,tejuçuoquense,ANTONIA HELOIDE ESTEVAM RODRIGUES,759.715,18998,22.42,98.3,0.584,12.71,51853.41777,43425.04017,5851.5,
Tianguá,2313401,tianguaense,JOSÉ JAYDSON SARAIVA DE AGUIAR,908.888,75140,75.8,98,0.657,11.3,152865.8488,148371.0863,14123.58,
Trairi,2313500,trairiense,MARCOS HENRIQUE FERREIRA DO PRADO,929.023,55535,55.55,98.1,0.606,15.6,109451.0928,107186.916,11755.46,
Tururu,2313559,tururuense,MARIA DE FÁTIMA GALDINO ALBUQUERQUE,202.276,16015,71.23,96.2,0.606,11.11,38075.48124,31969.73697,6048.03,
Ubajara,2313609,ubajarense,RENE DE ALMEIDA VASCONCELOS,421.033,34530,75.5,98.7,0.648,18.15,84777.89878,63907.03794,11755.39,
Umari,2313708,umariense,MIRINEIDE PINHEIRO MOURA,263.93,7729,28.59,96.5,0.591,11.63,203.81705,18511.25613,6141.51,
Umirim,2313757,umiriense,FELIPE CARLOS UCHOA SALES RIBEIRO,316.724,19811,59.35,95.6,0.587,12.9,62155.59944,45115.41853,6270.08,
