Cliente, TEC, tempo relógio, TS, tempo início serviço, tempo cliente na fila, tempo final do serviço, tempo cliente no sistema, tempo livre do operador, esperou na fila, quantidade de clientes no sistema
40,3.7283048215148833,211.23331803123938,1.1146525165435652,261.5711617088967,50.337843677657304,262.68581422544025,51.45249619420087,0.0,1,8
41,7.480163203084239,218.7134812343236,4.323715395237637,262.68581422544025,43.972332991116645,267.0095296206779,48.29604838635428,0.0,1,8
42,8.219987917766545,226.93346915209014,6.098082256160767,267.0095296206779,40.07606046858774,273.10761187683863,46.174142724748506,0.0,1,8
43,2.5925991499980734,229.52606830208822,3.219041046505178,273.10761187683863,43.58154357475041,276.32665292334383,46.80058462125559,0.0,1,9
44,6.181441366967146,235.70750966905536,6.9885691712757785,276.32665292334383,40.619143254288474,283.3152220946196,47.60771242556425,0.0,1,9
45,5.621345691462272,241.32885536051762,6.237853234065034,283.3152220946196,41.986366734102006,289.55307532868466,48.22421996816704,0.0,1,10
46,1.3234584980655288,242.65231385858314,10.526724353426653,289.55307532868466,46.900761470101514,300.0797996821113,57.427485823528166,0.0,1,11
47,1.1712062824061817,243.82352014098933,5.054035240974725,300.0797996821113,56.256279541121955,305.133834923086,61.31031478209668,0.0,1,11
48,1.4071118608036555,245.230632001793,1.5391506108682127,305.133834923086,59.903202921293,306.6729855339542,61.44235353216121,0.0,1,12
49,8.371481737144514,253.6021137389375,6.093927321529549,306.6729855339542,53.0708717950167,312.7669128554837,59.16479911654625,0.0,1,12
50,4.0458481400451385,257.64796187898264,5.414156143118434,312.7669128554837,55.11895097650108,318.18106899860214,60.533107119619515,0.0,1,13
51,3.0997607944997982,260.74772267348243,3.0070224395385075,318.18106899860214,57.433346325119714,321.18809143814065,60.440368764658224,0.0,1,13
52,6.047586898667199,266.7953095721496,6.788025064387504,321.18809143814065,54.392781865991026,327.97611650252816,61.18080693037853,0.0,1,12
53,2.178160244950301,268.9734698170999,4.830941846114693,327.97611650252816,59.00264668542826,332.80705834864284,63.83358853154295,0.0,1,12
54,3.2428580387220913,272.216327855822,1.1866707404387231,332.80705834864284,60.59073049282085,333.99372908908157,61.777401233259575,0.0,1,13
55,7.340327938776874,279.55665579459884,2.520856419614825,333.99372908908157,54.43707329448273,336.51458550869637,56.95792971409755,0.0,1,12
56,1.2071557777176745,280.7638115723165,3.491498100826188,336.51458550869637,55.75077393637986,340.00608360952253,59.24227203720604,0.0,1,13
57,4.973210096023578,285.7370216683401,5.669248279585668,340.00608360952253,54.26906194118243,345.6753318891082,59.938310220768095,0.0,1,13
58,5.874090868224898,291.61111253656503,2.4750721197898873,345.6753318891082,54.06421935254315,348.1504040088981,56.53929147233303,0.0,1,13
59,8.882357919694794,300.49347045625984,1.2937429703565502,348.1504040088981,47.656933552638236,349.44414697925464,48.95067652299478,0.0,1,13
60,3.6171629809665093,304.11063343722634,4.79358317101779,349.44414697925464,45.3335135420283,354.23773015027245,50.127096713046086,0.0,1,14
61,4.407322091175614,308.51795552840196,5.189325997453521,354.23773015027245,45.7197746218705,359.427056147726,50.90910061932402,0.0,1,13
62,5.21919286084391,313.7371483892459,2.61188016209654,359.427056147726,45.6899077584801,362.03893630982253,48.30178792057664,0.0,1,13
63,4.786772254219023,318.5239206434649,2.5439989484886754,362.03893630982253,43.51501566635761,364.5829352583112,46.05901461484629,0.0,1,13
64,7.662623704807554,326.1865443482725,9.80488672703055,364.5829352583112,38.39639091003869,374.3878219853417,48.20127763706924,0.0,1,13
65,7.433550960648973,333.62009530892146,8.492309163283023,374.3878219853417,40.76772667642024,382.88013114862474,49.260035839703264,0.0,1,12
66,1.038293847422513,334.65838915634396,3.1087872947490203,382.88013114862474,48.22174199228078,385.98891844337373,51.330529287029805,0.0,1,12
67,8.071707488208837,342.7300966445528,4.303125549431162,385.98891844337373,43.25882179882092,390.2920439928049,47.56194734825208,0.0,1,11
